year_month,avg_complexity,median_complexity,p75_complexity,pct_complex,date
2018-01,0.16671291959935386,0.132,0.132,0.02104946941528959,2018-01-01
2018-02,0.16665040792881958,0.13208,0.13208,0.020586984496937497,2018-02-01
2018-03,0.16637871905693596,0.13204,0.13204,0.02071155885212221,2018-03-01
2018-04,0.16749530969363388,0.13306,0.13306,0.02118386403910546,2018-04-01
2018-05,0.16743957653355857,0.13278,0.13278,0.02137683832414542,2018-05-01
2018-06,0.16571289527051297,0.13130000000000003,0.13130000000000003,0.02030712103044134,2018-06-01
2018-07,0.1659959947433822,0.131,0.131,0.02074562368021535,2018-07-01
2018-08,0.16693286413566347,0.13226,0.13226,0.021311068117183123,2018-08-01
2018-09,0.166208215218537,0.1312,0.1312,0.02102263842799312,2018-09-01
2018-10,0.16525070348747445,0.13116,0.13116,0.019471972240467473,2018-10-01
2018-11,0.16692048476898658,0.13269999999999998,0.13269999999999998,0.020178360007836255,2018-11-01
2018-12,0.16748251097732253,0.1333,0.1333,0.020778446720752766,2018-12-01
2019-01,0.16862608882405608,0.13408,0.13408,0.02169977881844983,2019-01-01
2019-02,0.16731966259665793,0.13296,0.13296,0.02099062260853674,2019-02-01
2019-03,0.16744675380066462,0.13306,0.13306,0.020812727320302482,2019-03-01
2019-04,0.16853028600813375,0.13452,0.13452,0.021349007334747015,2019-04-01
2019-05,0.16904445085385142,0.13544,0.13544,0.021170778742948006,2019-05-01
2019-06,0.16935312058712199,0.1352,0.1352,0.02183563212278007,2019-06-01
2019-07,0.1683579005449976,0.13458,0.13458,0.021223844350944567,2019-07-01
2019-08,0.1705474486155574,0.13634000000000002,0.13634000000000002,0.022458091352154715,2019-08-01
2019-09,0.16818372863698988,0.134,0.134,0.021112587108685132,2019-09-01
2019-10,0.16632538200386882,0.13196000000000002,0.13196000000000002,0.020994185625170723,2019-10-01
2019-11,0.16614842207356906,0.13156,0.13156,0.021066594400308083,2019-11-01
2019-12,0.1685823063561095,0.13388,0.13388,0.021941447209930392,2019-12-01
2020-01,0.16807781750259107,0.13302,0.13302,0.022177762765493686,2020-01-01
2020-02,0.1674225900356962,0.13224,0.13224,0.021538470600709212,2020-02-01
2020-03,0.16842606453251316,0.13402,0.13402,0.02126158664766715,2020-03-01
2020-04,0.167329776691751,0.13284,0.13284,0.02099251314284616,2020-04-01
2020-05,0.1665935234226311,0.132,0.132,0.020600375059911864,2020-05-01
2020-06,0.16647929843741735,0.13166,0.13166,0.02067405427600505,2020-06-01
2020-07,0.16878983957939797,0.13414,0.13414,0.02157943423947264,2020-07-01
2020-08,0.16960841259573287,0.13474,0.13474,0.022300130531714587,2020-08-01
2020-09,0.16972706172645144,0.13490000000000002,0.13490000000000002,0.022479836268074697,2020-09-01
2020-10,0.1704837185793256,0.13588,0.13588,0.022567093600813055,2020-10-01
