month,1,2,3,4,total,pct_1,pct_2,pct_3,pct_4
2018-01-01,78152,24013,56649,2524,161338,48.439921159305314,14.883660389988721,35.112000892536166,1.564417558169805
2018-02-01,75186,22438,53974,2365,153963,48.83381072075758,14.573631327007138,35.05647460753558,1.5360833446997006
2018-03-01,84612,25518,61271,2653,174054,48.61249956909924,14.660967286014683,35.20229354108495,1.5242396038011192
2018-04-01,79341,23797,57709,2581,163428,48.547984433512006,14.56115231172137,35.311574515994806,1.5792887387718137
2018-05-01,81223,24889,59832,2593,168537,48.1929783964352,14.76767712727769,35.50080991117677,1.538534565110332
2018-06-01,76159,22217,54540,2417,155333,49.02950435515956,14.302820392318438,35.11166332974964,1.5560119227723666
2018-07-01,79200,22513,56157,2671,160541,49.333192144062885,14.023209024485958,34.97984938426944,1.6637494471817167
2018-08-01,78028,22330,55990,2652,159000,49.07421383647799,14.044025157232703,35.21383647798742,1.6679245283018869
2018-09-01,71357,20450,50826,2380,145013,49.2073124478495,14.102183942129326,35.049271444629106,1.6412321653920683
2018-10-01,79417,22531,56547,2476,160971,49.33621584012027,13.99693112423977,35.12868777605904,1.5381652595809183
2018-11-01,73830,20837,53217,2363,150247,49.13908430783976,13.868496542360248,35.419675600843945,1.5727435489560522
2018-12-01,65511,18034,46978,2129,132652,49.38561046949914,13.594970298223924,35.414467931128065,1.6049513011488707
2019-01-01,74975,19862,52649,2533,150019,49.97700291296436,13.23965631020071,35.09488798085576,1.688452795979176
2019-02-01,74075,19092,51139,2518,146824,50.45156105268893,13.003323707295811,34.830136762382175,1.7149784776330845
2019-03-01,81850,21165,55988,2634,161637,50.638158342458716,13.094155422335232,34.638108848840304,1.6295773863657455
2019-04-01,78538,19594,53403,2444,153979,51.00565661551251,12.725111865903793,34.68200209119425,1.5872294273894492
2019-05-01,77019,19074,53313,2438,151844,50.72245199020047,12.561576354679804,35.11037643897684,1.6055952161428835
2019-06-01,69463,17008,47652,2193,136316,50.95733442882714,12.476891927580034,34.95701164940286,1.6087619941899705
2019-07-01,78145,18394,52462,2517,151518,51.57473039506857,12.139811771538694,34.6242690637416,1.6611887696511305
2019-08-01,70682,16783,47879,2249,137593,51.37034587515353,12.197568190242237,34.79755510818138,1.6345308264228557
2019-09-01,70134,17027,47859,2319,137339,51.06633949570042,12.397789411601948,34.84734853173534,1.6885225609622905
2019-10-01,78107,19092,53479,2552,153230,50.973699667167004,12.459701102917183,34.90112902173203,1.665470208183776
2019-11-01,75567,18542,52241,2505,148855,50.76551006012563,12.456417318867354,35.09522689865977,1.6828457223472506
2019-12-01,66855,16610,47343,2261,133069,50.24085249006155,12.482246052799676,35.57778295470771,1.6991185024310695
2020-01-01,74397,17778,52509,2599,147283,50.51295804675353,12.070639517120101,35.65177243809537,1.7646299980310014
2020-02-01,73670,17645,51909,2552,145776,50.536439468774006,12.10418724618593,35.60874217978268,1.7506311052573813
2020-03-01,79635,18929,55475,2606,156645,50.83788183472182,12.084011618628109,35.414472214242394,1.6636343324076734
2020-04-01,93810,21981,64918,3015,183724,51.06028608129586,11.96414186497137,35.33452352441706,1.6410485293157127
2020-05-01,95718,22360,66288,2989,187355,51.08910891089109,11.934562728510048,35.38096127672066,1.595367083878199
2020-06-01,88094,20148,61580,2824,172646,51.02579845464129,11.670122678776224,35.66836185026007,1.635717016322417
2020-07-01,84850,19322,59640,2901,166713,50.89585095343494,11.589977986119859,35.77405481276205,1.740116247683144
2020-08-01,76047,17325,53060,2544,148976,51.046477284931804,11.629389968854044,35.61647513693481,1.707657609279347
2020-09-01,72850,16789,50377,2462,142478,51.13070088013588,11.783573604345934,35.35773944047502,1.7279860750431646
2020-10-01,73507,16668,49948,2378,142501,51.58349765966555,11.696760022736683,35.05098209837124,1.6687602192265318
2020-11-01,69707,15973,47777,2190,135647,51.38853052408089,11.775417075202547,35.221567745692866,1.6144846550237013
2020-12-01,69199,15899,47349,2139,134586,51.41619484938998,11.813264381139197,35.18122241540725,1.589318354063573
2021-01-01,72707,16533,48877,2481,140598,51.71268439095862,11.759057739085904,34.76365239903839,1.7646054709170826
2021-02-01,68180,15390,46449,2389,132408,51.49235695728355,11.623164763458401,35.08020663404024,1.8042716452178116
2021-03-01,77058,17023,53011,2562,149654,51.490772047522945,11.37490478036003,35.42237427666484,1.7119488954521762
2021-04-01,70795,15535,48040,2360,136730,51.77722518832736,11.361807942660718,35.13493746800263,1.7260294010092885
2021-05-01,69920,15238,47204,2273,134635,51.933004047981576,11.318007947413376,35.0607197236974,1.6882682809076393
2021-06-01,67155,14452,45858,2333,129798,51.73808533259372,11.134223947980708,35.33028243886655,1.7974082805590226
2021-07-01,64809,13768,43973,2236,124786,51.93611462824356,11.033288990752167,35.23872870354046,1.7918676774638183
2021-08-01,63832,13688,43234,2197,122951,51.91661718896145,11.132890338427504,35.16360176005075,1.7868907125602882
2021-09-01,61902,13344,43018,2249,120513,51.3654128600234,11.072664359861593,35.6957340701833,1.8661887099317087
2021-10-01,61736,13259,42500,2197,119692,51.57905290244962,11.077599171206096,35.50780336196237,1.8355445643819135
2021-11-01,61702,13375,42876,2052,120005,51.416190992042,11.14536894296071,35.728511312028665,1.7099287529686262
2021-12-01,57599,12752,40685,1967,113003,50.97121315363309,11.284656159570986,36.00346893445307,1.740661752342858
2022-01-01,60829,13714,43553,2158,120254,50.58376436542651,11.404194455070101,36.217506278377435,1.79453490112595
2022-02-01,59000,12433,41348,2049,114830,51.38030131498738,10.827309936427763,36.00801184359488,1.7843769049899851
2022-03-01,63718,13393,45245,2191,124547,51.15980312653055,10.753370213654282,36.327651408705144,1.7591752511100227
2022-04-01,59816,12363,41195,1946,115320,51.86958029830038,10.72060353798127,35.72233784252515,1.6874783211932014
2022-05-01,60071,12617,42505,2041,117234,51.24025453366771,10.762236211338008,36.25654673558865,1.740962519405633
2022-06-01,57741,11936,40887,2020,112584,51.28703901087188,10.601861721026077,36.31688339373268,1.7942158743693597
2022-07-01,57208,11789,40923,2007,111927,51.11188542532186,10.532757958312114,36.56222359216275,1.7931330242032755
2022-08-01,58303,11930,41653,2096,113982,51.15105893913074,10.466564896211683,36.543489322875544,1.8388868417820357
