year,1,2,3,4,total,pct_1,pct_2,pct_3,pct_4
2018,922016,269567,663690,29804,1885077,48.911317680922316,14.30005246470038,35.2075803800057,1.5810494743716037
2019,895410,222243,615407,29163,1762223,50.81138993192121,12.61151397978576,34.922197701425986,1.6548983868670424
2020,951484,220817,660830,31199,1864330,51.03624358348575,11.844308679257427,35.445977911635815,1.6734698256210008
2021,797395,174357,545725,27296,1544773,51.618910998573895,11.286901052776038,35.327196940909765,1.766991007740296
2022,691923,144472,490685,24103,1351183,51.20868157755093,10.692260041756002,36.315214149378725,1.7838442313143372
2023,429044,103483,400840,21210,954577,44.94598130899865,10.84071793055982,41.99137418982439,2.2219265706171427
2024,81561,20928,85333,4789,192611,42.344933570772184,10.865423054758036,44.3032848591202,2.4863585153495906
