month,month_dt,math_questions,physics_questions,stats_questions,travel_questions,english_questions
2018-01,2018-01-01,0.0,0.0,0.0,,
2019-12,2019-12-01,,,,0.0,0.0
2020-01,2020-01-01,,0.0,,,
2022-01,2022-01-01,0.0,0.0,0.0,,
2023-12,2023-12-01,,,,,0.0
2024-01,2024-01-01,0.0,0.0,,,
2025-12,2025-12-01,,,,,0.0
2026-01,2026-01-01,0.0,0.0,,,
