加载数据...
总样本: 98,000条
已有: 9,400条，继续...
待处理: 88,600条，5线程并行
[25,800/98000] 新增16,400 | 7882条/h | 剩余~9.2h | 错误:0
[26,000/98000] 新增16,600 | 7915条/h | 剩余~9.1h | 错误:0
[26,200/98000] 新增16,800 | 7914条/h | 剩余~9.1h | 错误:0
[26,400/98000] 新增17,000 | 7932条/h | 剩余~9.0h | 错误:0
[26,600/98000] 新增17,200 | 7950条/h | 剩余~9.0h | 错误:0
[26,800/98000] 新增17,400 | 7969条/h | 剩余~8.9h | 错误:0
[27,000/98000] 新增17,600 | 7934条/h | 剩余~8.9h | 错误:0
[27,200/98000] 新增17,800 | 7955条/h | 剩余~8.9h | 错误:0
[27,400/98000] 新增18,000 | 7981条/h | 剩余~8.8h | 错误:0
[27,600/98000] 新增18,200 | 8005条/h | 剩余~8.8h | 错误:0
[27,800/98000] 新增18,400 | 8009条/h | 剩余~8.8h | 错误:0
[28,000/98000] 新增18,600 | 7987条/h | 剩余~8.8h | 错误:1
[28,200/98000] 新增18,800 | 7993条/h | 剩余~8.7h | 错误:1
[28,400/98000] 新增19,000 | 7996条/h | 剩余~8.7h | 错误:1
[28,600/98000] 新增19,200 | 8002条/h | 剩余~8.7h | 错误:1
[28,800/98000] 新增19,400 | 8016条/h | 剩余~8.6h | 错误:1
[29,000/98000] 新增19,600 | 8026条/h | 剩余~8.6h | 错误:1
[29,200/98000] 新增19,800 | 8033条/h | 剩余~8.6h | 错误:1
[29,400/98000] 新增20,000 | 8042条/h | 剩余~8.5h | 错误:1
[29,600/98000] 新增20,200 | 8050条/h | 剩余~8.5h | 错误:1
[29,800/98000] 新增20,400 | 8059条/h | 剩余~8.5h | 错误:1
[30,000/98000] 新增20,600 | 8079条/h | 剩余~8.4h | 错误:1
[30,200/98000] 新增20,800 | 8084条/h | 剩余~8.4h | 错误:1
[30,400/98000] 新增21,000 | 8113条/h | 剩余~8.3h | 错误:1
[30,600/98000] 新增21,200 | 8129条/h | 剩余~8.3h | 错误:1
[30,800/98000] 新增21,400 | 8150条/h | 剩余~8.2h | 错误:1
[31,000/98000] 新增21,600 | 8172条/h | 剩余~8.2h | 错误:1
[31,200/98000] 新增21,800 | 8171条/h | 剩余~8.2h | 错误:1
[31,400/98000] 新增22,000 | 8167条/h | 剩余~8.2h | 错误:1
[31,600/98000] 新增22,200 | 8180条/h | 剩余~8.1h | 错误:1
[31,800/98000] 新增22,400 | 8207条/h | 剩余~8.1h | 错误:1
[32,000/98000] 新增22,600 | 8232条/h | 剩余~8.0h | 错误:1
[32,200/98000] 新增22,800 | 8241条/h | 剩余~8.0h | 错误:1
[32,400/98000] 新增23,000 | 8210条/h | 剩余~8.0h | 错误:1
[32,600/98000] 新增23,200 | 8220条/h | 剩余~8.0h | 错误:1
[32,800/98000] 新增23,400 | 8228条/h | 剩余~7.9h | 错误:1
[33,000/98000] 新增23,600 | 8211条/h | 剩余~7.9h | 错误:1
[33,200/98000] 新增23,800 | 8215条/h | 剩余~7.9h | 错误:1
[33,400/98000] 新增24,000 | 8204条/h | 剩余~7.9h | 错误:1
[33,600/98000] 新增24,200 | 8192条/h | 剩余~7.9h | 错误:1
[33,800/98000] 新增24,400 | 8200条/h | 剩余~7.8h | 错误:1
[34,000/98000] 新增24,600 | 8182条/h | 剩余~7.8h | 错误:1
[34,200/98000] 新增24,800 | 8159条/h | 剩余~7.8h | 错误:1
[34,400/98000] 新增25,000 | 8136条/h | 剩余~7.8h | 错误:1
[34,600/98000] 新增25,200 | 8155条/h | 剩余~7.8h | 错误:1
[34,800/98000] 新增25,400 | 8140条/h | 剩余~7.8h | 错误:1
[35,000/98000] 新增25,600 | 8154条/h | 剩余~7.7h | 错误:1
[35,200/98000] 新增25,800 | 8159条/h | 剩余~7.7h | 错误:1
[35,400/98000] 新增26,000 | 8158条/h | 剩余~7.7h | 错误:1
[35,600/98000] 新增26,200 | 8120条/h | 剩余~7.7h | 错误:1
[35,800/98000] 新增26,400 | 8110条/h | 剩余~7.7h | 错误:1
[36,000/98000] 新增26,600 | 8113条/h | 剩余~7.6h | 错误:1
[36,200/98000] 新增26,800 | 8002条/h | 剩余~7.7h | 错误:1
[36,400/98000] 新增27,000 | 7843条/h | 剩余~7.9h | 错误:19
[36,600/98000] 新增27,200 | 7792条/h | 剩余~7.9h | 错误:25
[36,800/98000] 新增27,400 | 7798条/h | 剩余~7.8h | 错误:25
[37,000/98000] 新增27,600 | 7781条/h | 剩余~7.8h | 错误:25
[37,200/98000] 新增27,800 | 7783条/h | 剩余~7.8h | 错误:25
[37,400/98000] 新增28,000 | 7783条/h | 剩余~7.8h | 错误:25
[37,600/98000] 新增28,200 | 7786条/h | 剩余~7.8h | 错误:25
[37,800/98000] 新增28,400 | 7798条/h | 剩余~7.7h | 错误:25
[38,000/98000] 新增28,600 | 7812条/h | 剩余~7.7h | 错误:25
[38,200/98000] 新增28,800 | 7830条/h | 剩余~7.6h | 错误:25
[38,400/98000] 新增29,000 | 7849条/h | 剩余~7.6h | 错误:25
[38,600/98000] 新增29,200 | 7855条/h | 剩余~7.6h | 错误:25
[38,800/98000] 新增29,400 | 7869条/h | 剩余~7.5h | 错误:25
[39,000/98000] 新增29,600 | 7874条/h | 剩余~7.5h | 错误:25
[39,200/98000] 新增29,800 | 7892条/h | 剩余~7.5h | 错误:25
[39,400/98000] 新增30,000 | 7879条/h | 剩余~7.4h | 错误:25
[39,600/98000] 新增30,200 | 7876条/h | 剩余~7.4h | 错误:25
[39,800/98000] 新增30,400 | 7893条/h | 剩余~7.4h | 错误:25
[40,000/98000] 新增30,600 | 7896条/h | 剩余~7.3h | 错误:25
[40,200/98000] 新增30,800 | 7884条/h | 剩余~7.3h | 错误:25
[40,400/98000] 新增31,000 | 7893条/h | 剩余~7.3h | 错误:25
[40,600/98000] 新增31,200 | 7900条/h | 剩余~7.3h | 错误:25
[40,800/98000] 新增31,400 | 7885条/h | 剩余~7.3h | 错误:25
[41,000/98000] 新增31,600 | 7903条/h | 剩余~7.2h | 错误:25
[41,200/98000] 新增31,800 | 7914条/h | 剩余~7.2h | 错误:25
[41,400/98000] 新增32,000 | 7922条/h | 剩余~7.1h | 错误:25
[41,600/98000] 新增32,200 | 7933条/h | 剩余~7.1h | 错误:25
[41,800/98000] 新增32,400 | 7945条/h | 剩余~7.1h | 错误:25
[42,000/98000] 新增32,600 | 7963条/h | 剩余~7.0h | 错误:25
[42,200/98000] 新增32,800 | 7981条/h | 剩余~7.0h | 错误:25
[42,400/98000] 新增33,000 | 7994条/h | 剩余~7.0h | 错误:25
[42,600/98000] 新增33,200 | 8008条/h | 剩余~6.9h | 错误:25
[42,800/98000] 新增33,400 | 8000条/h | 剩余~6.9h | 错误:25
