lang,month,n_questions,median_body_length,median_code_blocks,frac_with_code
c,2021-03,2294,1183.5,2.0,0.934176
c,2021-04,2109,1238.0,2.0,0.939308
c,2021-05,1901,1190.0,2.0,0.931615
c,2021-06,1698,1207.0,2.0,0.93404
c,2021-07,1464,1180.0,2.0,0.920082
c,2021-08,1387,1107.0,2.0,0.909877
c,2021-09,1555,1132.0,2.0,0.911897
c,2021-10,1925,1175.0,2.0,0.937662
c,2021-11,2044,1202.5,2.0,0.948141
c,2021-12,1927,1214.0,2.0,0.923716
c,2022-01,1792,1229.5,2.0,0.9375
c,2022-02,1533,1247.0,2.0,0.93803
c,2022-03,1805,1136.0,2.0,0.934626
c,2022-04,1626,1230.0,2.0,0.934194
c,2022-05,1605,1292.0,2.0,0.938318
c,2022-06,1437,1255.0,2.0,0.936674
c,2022-07,1262,1215.5,2.0,0.928685
c,2022-08,1307,1227.0,2.0,0.933435
c,2022-09,1437,1212.0,2.0,0.933194
c,2022-10,1766,1187.0,2.0,0.931484
c,2022-11,1896,1293.0,2.0,0.935127
c,2022-12,1641,1368.0,2.0,0.944546
c,2023-01,1338,1340.5,2.0,0.93423
c,2023-02,1146,1397.5,2.0,0.926702
c,2023-03,1083,1468.0,2.0,0.938135
c,2023-04,1078,1506.0,2.0,0.930427
c,2023-05,952,1493.5,2.0,0.913866
c,2023-06,810,1430.0,3.0,0.923457
c,2023-07,845,1544.0,2.0,0.905325
c,2023-08,798,1453.5,3.0,0.927318
c,2023-09,802,1422.0,2.0,0.933915
c,2023-10,895,1492.0,2.0,0.92514
c,2023-11,883,1607.0,2.0,0.899207
c,2023-12,820,1629.5,2.0,0.923171
c,2024-01,768,1607.0,3.0,0.93099
c,2024-02,721,1491.0,3.0,0.912621
c,2024-03,751,1687.0,2.0,0.929427
cpp,2018-01,4546,1195.5,2.0,0.898592
cpp,2018-02,4386,1220.0,2.0,0.905837
cpp,2018-03,5010,1228.5,2.0,0.904591
cpp,2018-04,4483,1262.0,2.0,0.907651
cpp,2018-05,4496,1216.0,2.0,0.905694
cpp,2018-06,3925,1199.0,3.0,0.903185
cpp,2018-07,3750,1248.5,3.0,0.917067
cpp,2018-08,3745,1216.0,3.0,0.907343
cpp,2018-09,3588,1230.0,3.0,0.91388
cpp,2018-10,4165,1206.0,2.0,0.913085
cpp,2018-11,4204,1230.0,2.0,0.917222
cpp,2018-12,3445,1238.0,2.0,0.904209
cpp,2019-01,3767,1279.0,3.0,0.917441
