lang,month,n_active_users,total_questions,gini,hhi,top10_share
c,2020-01,1434,1789,0.181568,0.001069,0.251537
c,2020-02,1356,1685,0.177628,0.001074,0.245697
c,2020-03,1741,2172,0.17789,0.000817,0.23895
c,2020-04,2174,2826,0.204433,0.000715,0.2523
c,2020-05,2144,2904,0.23025,0.000795,0.268939
c,2020-06,1670,2144,0.194891,0.000859,0.242071
c,2020-07,1363,1720,0.18552,0.001026,0.243605
c,2020-08,1258,1610,0.193485,0.001154,0.243478
c,2020-09,1455,1821,0.179583,0.00095,0.23888
c,2020-10,1639,2074,0.188518,0.00088,0.248312
c,2020-11,1849,2329,0.183222,0.000738,0.239588
c,2020-12,1825,2335,0.19416,0.000784,0.246681
c,2021-01,1722,2277,0.220313,0.001307,0.270971
c,2021-02,1505,1963,0.211907,0.001316,0.267448
c,2021-03,1698,2202,0.207699,0.001204,0.263851
c,2021-04,1653,2022,0.164974,0.000832,0.232938
c,2021-05,1457,1819,0.176672,0.000972,0.231996
c,2021-06,1348,1634,0.156397,0.000952,0.221542
c,2021-07,1150,1417,0.170751,0.001218,0.238532
c,2021-08,1116,1344,0.156322,0.001267,0.238095
c,2021-09,1243,1508,0.158235,0.001091,0.22679
c,2021-10,1503,1851,0.168978,0.000997,0.231767
c,2021-11,1558,1965,0.185008,0.000924,0.241221
c,2021-12,1482,1870,0.185537,0.001159,0.241176
c,2022-01,1408,1711,0.162802,0.001136,0.239626
c,2022-02,1222,1464,0.152112,0.001212,0.233607
c,2022-03,1414,1745,0.168521,0.000942,0.227507
c,2022-04,1308,1574,0.151023,0.000957,0.218551
c,2022-05,1305,1563,0.147427,0.000955,0.215611
c,2022-06,1154,1391,0.15205,0.001089,0.219267
c,2022-07,991,1228,0.176267,0.001497,0.248371
c,2022-08,1034,1274,0.168909,0.001264,0.234694
c,2022-09,1130,1398,0.171531,0.00122,0.232475
c,2022-10,1432,1717,0.150274,0.000898,0.224811
c,2022-11,1542,1844,0.145985,0.000799,0.213666
c,2022-12,1330,1599,0.152049,0.000976,0.22389
c,2023-01,1095,1314,0.150296,0.00118,0.222983
c,2023-02,944,1117,0.142301,0.001439,0.2265
c,2023-03,896,1058,0.139967,0.001479,0.222117
c,2023-04,913,1062,0.129135,0.001355,0.220339
c,2023-05,807,949,0.13888,0.001631,0.231823
c,2023-06,695,806,0.128025,0.001927,0.223325
c,2023-07,709,832,0.135914,0.001814,0.222356
c,2023-08,657,791,0.154643,0.002134,0.231353
c,2023-09,679,796,0.136111,0.001925,0.226131
c,2023-10,771,890,0.123202,0.001563,0.219101
c,2023-11,758,872,0.120416,0.001568,0.216743
c,2023-12,713,815,0.11478,0.001673,0.208589
c,2024-01,662,765,0.124983,0.001881,0.222222
c,2024-02,636,720,0.107988,0.001833,0.205556
c,2024-03,667,751,0.105303,0.001856,0.201065
cpp,2018-01,3525,4411,0.180393,0.000403,0.240988
cpp,2018-02,3427,4260,0.175504,0.000405,0.237089
cpp,2018-03,3869,4859,0.182354,0.000364,0.24079
cpp,2018-04,3518,4357,0.17229,0.000391,0.232729
cpp,2018-05,3439,4377,0.192496,0.000444,0.249257
cpp,2018-06,3028,3825,0.186515,0.000469,0.243922
cpp,2018-07,2856,3630,0.190436,0.000566,0.245179
cpp,2018-08,2884,3653,0.187305,0.000506,0.241993
cpp,2018-09,2809,3497,0.175303,0.000484,0.233343
cpp,2018-10,3294,4050,0.166385,0.000407,0.226667
cpp,2018-11,3317,4091,0.169882,0.000404,0.234173
cpp,2018-12,2761,3345,0.159019,0.0005,0.232586
cpp,2019-01,2994,3672,0.16609,0.000446,0.232026
cpp,2019-02,2834,3494,0.170571,0.000489,0.237264
cpp,2019-03,3341,4118,0.169904,0.000405,0.236037
cpp,2019-04,3344,4088,0.162467,0.00039,0.225538
cpp,2019-05,3123,3830,0.165885,0.000435,0.23107
cpp,2019-06,2767,3403,0.168055,0.000494,0.232148
cpp,2019-07,3049,3927,0.199604,0.000511,0.251592
cpp,2019-08,2483,3059,0.169672,0.000572,0.234717
cpp,2019-09,2828,3518,0.17635,0.0005,0.237919
cpp,2019-10,3552,4526,0.191542,0.000417,0.244366
cpp,2019-11,3490,4404,0.185733,0.000407,0.244323
cpp,2019-12,3070,3926,0.193716,0.000475,0.244778
cpp,2020-01,3122,3988,0.192016,0.000459,0.241976
cpp,2020-02,3002,3785,0.185413,0.000481,0.244122
cpp,2020-03,3461,4355,0.181952,0.000392,0.23651
cpp,2020-04,4296,5817,0.227775,0.000373,0.264054
cpp,2020-05,4438,5994,0.230056,0.000379,0.272773
