covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
ari,-1.751435768455871e-13,0.9999999999998248,0.2499648104409063,-0.48992202586673317,0.4899220258663829,0.612674165058941,1.6321889464744228,0.0,-7.006729328686546e-13,0.9999999999994409,8.066227936608218e-13
n_posts,-0.0322482677377472,0.9682661629864585,0.0007857462132075516,-0.03378830201662273,-0.030708233458871668,0.9667761475363086,0.9697584748793241,0.0,-41.04158212370405,0.0,inf
rep_med,0.2389133506158573,1.2698684984932023,0.04951888860596342,0.14185811239371815,0.33596858883799646,1.1524131237966289,1.3992950706364535,0.0,4.824691291376956,1.402202820628514e-06,19.44387352728529
rep_high,-0.23891335061585184,0.787483114343401,0.04951888860596342,-0.33596858883799097,-0.14185811239371268,0.7146455533107585,0.8677443699230897,0.0,-4.824691291376846,1.4022028206292874e-06,19.443873527284495
time_trend,0.02446843847011817,1.0247702472800095,0.00028834919813297907,0.023903284426806524,0.025033592513429813,1.0241912578558114,1.0253495640149033,0.0,84.85696727630214,0.0,inf
reg_post_copilot_beta,-0.02986581515831025,0.9705757613659001,0.014001202622970863,-0.05730766803958088,-0.002423962277039622,0.944303492663876,0.9975789731472556,0.0,-2.1330892754391932,0.03291740338125754,4.925005653429877
reg_post_copilot_ga,0.030682931251113724,1.031158503911787,0.018777776241403057,-0.00612083389178817,0.06748669639401561,0.9938978602512822,1.06981602709233,0.0,1.6340023896685396,0.10225834882802505,3.2897094588491456
reg_post_chatgpt,-0.004161267046142114,0.9958473790285397,0.027683115809207695,-0.05841917701204059,0.050096642919756365,0.9432544739639048,1.0513726991937509,0.0,-0.15031787154385393,0.8805138337346408,0.18358242450085754
reg_post_gpt4,-0.04106458851720881,0.959767138009527,0.034997013229750684,-0.10965747401399195,0.027528296979574325,0.8961410343244658,1.0279107014638462,0.0,-1.1733740890294069,0.2406458232050103,2.055016711658179
reg_post_llama2,0.04420732271466191,1.0451990259266708,0.05989597529686963,-0.07318663168610334,0.16160127711542716,0.9294273532441175,1.1753914923903985,0.0,0.738068334233675,0.46047292510007454,1.1188117637003545
reg_post_code_llama,-0.410349310693038,0.6634184704914203,0.06789338968848752,-0.5434179092708166,-0.2772807121152594,0.5807598717077104,0.7578417318934267,0.0,-6.044024500409054,1.5031667009069329e-09,29.30934784124853
reg_post_devin,-2.1190661164575886,0.1201437764322905,0.6733078523904179,-3.4387252576508187,-0.7994069752643584,0.03210558560327948,0.4495955063326353,0.0,-3.147246996948503,0.0016481567131692708,9.244930858546853
ari_x_reg_post_copilot_beta,0.06932500255609175,1.0717844852472542,0.08984151407294677,-0.10676112934343235,0.24541113445561585,0.8987403300443706,1.2781466953419232,0.0,0.7716366233521327,0.4403296767757119,1.1833440144228287
ari_x_reg_post_copilot_ga,0.0057608906497093396,1.0057775164914673,0.13626083802362562,-0.2613054443798428,0.27282722567926154,0.7700456775657923,1.3136732562118876,0.0,0.04227840319542498,0.966276761643046,0.04949162894943249
ari_x_reg_post_chatgpt,0.16029810302384803,1.173860750278417,0.19758132712631565,-0.22695418216135746,0.5475503882090536,0.7969572963144439,1.729012416871745,0.0,0.8113018844203223,0.4171923281565567,1.2612154668289566
ari_x_reg_post_gpt4,-0.1258347278267875,0.8817605652263505,0.25115437547026204,-0.6180882583081511,0.3664188026545761,0.538973832058564,1.4425592638119231,0.0,-0.5010254254626234,0.6163532291435734,0.6981707051999961
ari_x_reg_post_llama2,-0.039365313567082,0.9613994327310915,0.4504321574019084,-0.9221961195534991,0.8434654924193352,0.39764480593976,2.324408254425149,0.0,-0.08739454526102451,0.9303579050418068,0.10414227275519655
ari_x_reg_post_code_llama,-0.07784330421534748,0.9251093759263143,0.4991544443179773,-1.0561680378016869,0.9004814293709918,0.3477859628179985,2.4607875214177106,0.0,-0.15595033781920775,0.8760721668285812,0.19087837752969786
ari_x_reg_post_devin,-1.206369192344272,0.2992819443081574,6.085161724806921,-13.133067013067475,10.72032862837893,1.978706888817541e-06,45266.77634523077,0.0,-0.19824767966747006,0.8428512847245995,0.2466499948199011
