covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
ari,0.041733699969169674,1.0426167928944363,0.0027155351240890986,0.036411348927201534,0.047056051011137814,1.0370823614784823,1.048180759024542,0.0,15.368499416176347,2.662649131055641e-53,174.6493266982047
reg_post_copilot_beta,0.41604753749929196,1.5159579320068242,0.0075157066048016,0.401317023235511,0.43077805176307293,1.4937907598219742,1.5384540548960761,0.0,55.35707543898659,0.0,inf
reg_post_copilot_ga,0.10996966826371293,1.1162442123203058,0.011296534601153617,0.0878288672953413,0.13211046923208455,1.0918012631367093,1.141234383589976,0.0,9.734814449422629,2.142082687506786e-22,71.98340391623235
reg_post_chatgpt,0.08644849503068411,1.090295210650238,0.015044965307467044,0.05696090487939412,0.1159360851819741,1.0586144229279417,1.122924098350172,0.0,5.746008266817233,9.13748411669188e-09,26.705555860695718
reg_post_gpt4,0.050791844602502675,1.0521038693893507,0.017081919288760013,0.017311898009712993,0.08427179119529235,1.0174626174061427,1.0879245419413686,0.0,2.9734272679723968,0.0029449419155990852,8.407545105242528
reg_post_llama2,0.04061371403172408,1.0414497304170252,0.025604557361309763,-0.00957029623653298,0.09079772429998113,0.9904753533058799,1.0950474813589242,0.0,1.5861908276178278,0.11269602786308358,3.1494914283854025
reg_post_code_llama,-0.6782304027244309,0.5075142941122435,0.026659708539091234,-0.7304824712993847,-0.6259783341494771,0.48167653891358825,0.5347380200605046,0.0,-25.440278228471218,9.044220399775918e-143,471.8587214191531
reg_post_devin,-3.379007601595312,0.03408126014580527,0.13968076254081357,-3.652776865508398,-3.1052383376822257,0.025919055025598166,0.044813836460430474,0.0,-24.190930376743854,2.771670029659628e-129,427.05796872719
reg_post_copilot_beta_ari,-0.005482649316205154,0.9945323529756,0.004011485534288439,-0.013345016487913912,0.002379717855503603,0.986743633461451,1.0023825516314562,0.0,-1.3667379002969957,0.17170747370170494,2.5419752597538965
reg_post_copilot_ga_ari,0.00045844910112956955,1.0004585542049798,0.004818789297979239,-0.008986204371996789,0.009903102574255928,0.9910540508915929,1.0099523005646887,0.0,0.09513781839804043,0.9242053595575633,0.11371463902855665
reg_post_chatgpt_ari,-0.0017318203866096699,0.9982696783490109,0.005158993928611621,-0.011843262683149251,0.008379621909929911,0.9882265927084694,1.0084148292141957,0.0,-0.33568955702875464,0.7371049816027697,0.4400579862160597
reg_post_gpt4_ari,-0.0022207464601941927,0.9977817175728909,0.0049914245168804225,-0.01200375874483006,0.007562265824441675,0.9880679989594678,1.007590931971422,0.0,-0.44491235972494103,0.6563830902779022,0.6073900222247214
reg_post_llama2_ari,0.0035861431415922843,1.0035925810463573,0.005848329233532696,-0.007876371525864538,0.015048657809049107,0.9921545658104058,1.0151624589950818,0.0,0.6131910496813919,0.5397500221568512,0.8896366974166476
reg_post_code_llama_ari,-0.004910087699642196,0.9951019470756426,0.00550389275923114,-0.01569751928250601,0.00587734388322162,0.9844250446188607,1.005894649355575,0.0,-0.892111804214751,0.37233300845792483,1.4253345737083758
reg_post_devin_ari,-0.003299016331163272,0.9967064194440001,0.010498486097312203,-0.023875670974089658,0.017277638311763113,0.9764070979550955,1.0174277600413,0.0,-0.31423733865855935,0.7533407857623242,0.4086254561393204
