covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
ari,0.24262766606478514,1.2745939611720176,0.01883418122785586,0.2057133491798873,0.279541982949683,1.2284010313593696,1.3225239350852516,0.0,12.882304950211344,5.661899961484507e-38,123.73198134682319
n_posts,-0.05427834299276386,0.9471684321114958,0.00048139100613556207,-0.05522185202727106,-0.05333483395825665,0.9462751915951114,0.9480625158060879,0.0,-112.7531306172322,0.0,inf
