Event,Date,CAR (log),CAR (%),SE,t-stat,R² (baseline),Est. window (weeks)
GitHub Copilot Beta,2021-10-01,10.5851***,3953977.2%,(0.0000),6279253328574.75,1.000,52
GitHub Copilot GA,2022-06-21,11.1433***,6909850.7%,(0.0000),6238814234308.71,1.000,52
ChatGPT Launch,2022-11-30,2.7551***,1472.3%,(0.0000),17500181651561.09,1.000,52
GPT-4 Release,2023-03-14,3.8533***,4615.1%,(0.0000),6758196527081.96,1.000,52
Llama 2 Open Source,2023-07-18,7.0809***,118807.5%,(0.0000),17246128709901.67,1.000,52
Code Llama Release,2023-08-25,6.1182***,45306.6%,(0.0000),3322328988709.53,1.000,52
Devin Public Release,2024-03-04,2.9352***,1782.5%,(0.0000),12234507192181.58,1.000,52
Claude 3.5 Sonnet,2024-06-20,3.4015***,2900.9%,(0.0000),6077101737893.40,1.000,52
